127.0.0.1 - - [17/May/2020:22:56:25 +0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:27 +0300] "GET /istos2/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:28 +0300] "GET /istos2/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:28 +0300] "GET /istos2/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:28 +0300] "GET /istos2/js/jquery-3.5.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:28 +0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:42 +0300] "GET /istos2/bookmarks? HTTP/1.1" 200 1581
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:43 +0300] "GET /istos2/css/bookmarks.css HTTP/1.1" 200 287
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:43 +0300] "GET /istos2/js/bookmarks.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:49 +0300] "GET /istos2/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:22:56:56 +0300] "GET /istos2/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:22:58:49 +0300] "GET /istos2/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:22:58:52 +0300] "GET /istos2/bookmarks? HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [17/May/2020:22:58:52 +0300] "GET /istos2/css/bookmarks.css HTTP/1.1" 200 387
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:08 +0300] "GET /istos2/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:11 +0300] "GET /istos2/bookmarks? HTTP/1.1" 200 1584
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:11 +0300] "GET /istos2/css/bookmarks.css HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:19 +0300] "GET /istos2/login.jsp HTTP/1.1" 200 1652
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:19 +0300] "GET /istos2/js/validations.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:19 +0300] "GET /istos2/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:23 +0300] "GET /istos2/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:24 +0300] "GET /istos2/signup.jsp HTTP/1.1" 200 2254
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:24 +0300] "GET /istos2/js/signupvalidations.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:24 +0300] "GET /istos2/css/signup.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2020:23:00:25 +0300] "GET /istos2/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:23:02:02 +0300] "GET /istos2/ HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:23:02:11 +0300] "GET /istos2/bookmarks? HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [17/May/2020:23:02:11 +0300] "GET /istos2/css/bookmarks.css HTTP/1.1" 200 270
0:0:0:0:0:0:0:1 - - [17/May/2020:23:02:15 +0300] "GET /istos2/index.jsp HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [17/May/2020:23:02:16 +0300] "GET /istos2/bookmarks? HTTP/1.1" 200 1575
